,region,place,cost_nomad,cost_coworking,cost_expat,coffee_in_cafe,cost_beer,places_to_work,free_wifi_available,internet_speed,freedom_score,peace_score,safety,fragile_states_index,press_freedom_index,female_friendly,lgbt_friendly,friendly_to_foreigners,racism,leisure,life_score,nightlife,weed
0,Europe,Budapest,1364.0,152.41,1273.0,1.73,1.73,1.0,0.4,31.0,0.6,0.8,0.6,52.7,28.17,1.0,0.27,0.6,0.4,0.8,0.86,1.0,0.0
1,Asia,Chiang Mai,777.0,98.88,780.0,0.85,0.85,0.8,0.6,14.0,0.2,0.4,0.8,78.8,44.53,0.8,0.6,0.6,0.4,0.62,0.75,0.4,0.0
2,Asia,Phuket,1012.0,155.43,1714.0,1.41,1.41,0.8,0.4,14.0,0.2,0.4,0.8,78.8,44.53,0.6,0.8,0.6,0.42,0.6,0.75,0.82,0.0
3,Asia,Bangkok,1197.0,131.41,1158.0,2.12,2.12,1.0,1.0,24.0,0.2,0.4,0.77,78.8,44.53,0.8,0.8,1.0,0.42,0.82,0.72,1.0,0.0
4,Asia,Ko Samui,1352.0,169.56,1347.0,1.41,1.41,0.8,0.4,15.0,0.2,0.4,0.8,78.8,44.53,0.8,0.8,1.0,0.4,0.8,0.8,0.8,0.0
5,Asia,Ko Lanta,812.0,135.65,1016.0,1.41,1.41,0.4,0.2,15.0,0.2,0.4,0.8,78.8,44.53,1.0,0.8,0.8,0.4,0.62,0.73,0.43,0.0
6,Asia,Chiang Rai,1134.0,195.38,1119.0,1.41,1.41,0.6,0.6,12.0,0.2,0.4,0.6,78.8,44.53,0.6,0.4,1.0,0.6,0.8,0.76,0.8,0.0
7,Asia,Pattaya,1134.0,113.04,1100.0,2.12,2.12,0.4,0.6,9.0,0.2,0.4,0.56,78.8,44.53,0.2,1.0,1.0,0.4,0.8,0.66,0.8,0.0
8,Asia,Ao Nang,866.0,172.39,1483.0,1.84,1.84,0.4,0.4,0.0,0.2,0.4,0.6,78.8,44.53,0.6,0.4,0.8,0.4,0.6,0.7,0.4,0.0
9,Asia,Hua Hin,1232.0,172.39,2173.0,1.55,1.55,0.4,0.4,13.0,0.2,0.4,0.4,78.8,44.53,0.6,0.4,0.6,0.6,0.6,0.66,0.6,0.0
10,Asia,Ko Pha Ngan,777.0,110.21,1152.0,1.41,1.41,0.4,0.2,2.0,0.2,0.4,0.6,78.8,44.53,0.6,0.8,0.8,0.4,0.6,0.65,1.0,0.0
11,Asia,Ko Tao,1247.0,28.26,1092.0,1.41,1.41,0.2,0.4,2.0,0.2,0.4,0.6,78.8,44.53,1.0,0.8,0.8,0.4,0.6,0.67,0.4,0.0
12,Asia,Ko Phi Phi,1285.0,110.21,730.0,1.41,1.41,0.2,0.2,3.0,0.2,0.4,0.8,78.8,44.53,0.6,0.6,0.8,0.4,0.6,0.66,1.0,0.0
13,Asia,Pai,1297.0,423.9,971.0,1.41,1.41,0.6,0.4,4.0,0.2,0.4,0.8,78.8,44.53,0.6,0.6,1.0,0.4,0.4,0.66,0.2,0.0
14,Europe,Prague,1639.0,159.13,1653.0,1.99,1.99,1.0,0.6,15.0,0.8,0.8,0.8,40.8,16.66,1.0,0.6,0.8,0.42,1.0,0.83,1.0,1.0
15,Europe,Brno,1699.0,79.25,912.0,0.97,0.97,0.4,0.4,26.0,0.8,0.8,0.8,40.8,16.66,0.8,0.6,0.8,0.4,0.4,0.74,0.6,1.0
16,Asia,Taipei,1545.0,47.01,1640.0,1.88,1.88,1.0,1.0,16.0,0.6,0.8514819054220603,1.0,51.688224038315305,24.37,1.0,0.8,0.8,0.0,1.0,0.93,0.6,0.0
17,Asia,New Taipei City,2695.0,251.44,909.0,0.0,0.0,0.8,0.8,25.0,0.6,0.7250866510337128,0.8,42.367061286607196,24.37,0.8,0.6,0.6,0.6,0.8,0.85,0.8,0.0
18,Asia,Taichung,1456.0,219.39,1010.0,1.57,1.57,0.6,1.0,7.0,0.6,0.7191142660327949,0.8,36.29180857811539,24.37,0.8,0.6,0.6,0.0,0.4,0.77,0.4,0.0
19,Asia,Kaohsiung,1160.0,95.59,835.0,1.57,1.57,0.4,1.0,9.0,0.6,0.8543100666948442,1.0,38.40948567407396,24.37,1.0,0.8,1.0,0.0,0.6,0.82,0.6,0.0
20,Asia,Tainan,1398.0,251.44,1921.0,0.0,0.0,0.6,0.8,5.0,0.6,0.6069799947381322,0.8,43.56815522593561,24.37,0.8,0.6,0.6,0.6,0.8,0.79,0.6,0.0
21,Americas,Austin,3028.0,200.0,3309.0,5.0,5.0,1.0,0.6,118.0,0.6,0.8,0.73,34.0,22.49,0.8,0.6,0.8,0.8,1.0,0.95,1.0,0.0
22,Americas,Miami,3238.0,250.0,4325.0,4.0,4.0,1.0,1.0,81.0,0.6,0.8,0.73,34.0,22.49,0.8,1.0,0.8,0.8,1.0,1.0,1.0,0.0
23,Americas,Portland,3503.0,300.0,2691.0,5.0,5.0,1.0,0.4,23.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,1.0,0.95,1.0,1.0
24,Americas,San Diego,3427.0,490.0,3764.0,5.0,5.0,1.0,1.0,55.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.6,0.92,1.0,1.0
25,Americas,Atlanta,2956.0,300.0,2760.0,3.5,3.5,1.0,0.6,99.0,0.6,0.8,0.4,34.0,22.49,0.8,1.0,0.8,0.8,0.8,0.87,0.6,0.0
26,Americas,Minneapolis,3193.0,400.0,3016.0,4.0,4.0,1.0,0.6,17.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.8,0.89,0.44,1.0
27,Americas,Oakland,3400.0,250.0,3292.0,5.0,5.0,1.0,0.8,20.0,0.6,0.8,0.38,34.0,22.49,0.8,0.62,0.6,0.8,0.6,0.87,0.8,1.0
28,Americas,Houston,3164.0,199.0,2884.0,6.0,6.0,1.0,0.6,15.0,0.6,0.8,0.4,34.0,22.49,0.0,0.6,0.64,0.82,0.45,0.83,0.8,0.0
29,Americas,Las Vegas,2552.0,175.0,2572.0,5.0,5.0,0.8,0.98,55.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,1.0,0.94,1.0,1.0
30,Americas,Denver,3602.0,450.0,3306.0,4.0,4.0,1.0,0.6,101.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.62,0.88,0.6,1.0
31,Americas,Seattle,4370.0,345.0,3178.0,5.0,5.0,1.0,1.0,17.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.91,0.8,1.0
32,Americas,San Antonio,2671.0,50.0,2109.0,5.0,5.0,0.8,0.8,45.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.88,0.8,0.0
33,Americas,Dallas,3158.0,121.0,2478.0,5.0,5.0,0.8,0.8,49.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.8,0.89,0.4,0.0
34,Americas,Kansas City,3051.0,200.0,2204.0,4.5,4.5,0.8,0.6,97.0,0.6,0.8,0.44,34.0,22.49,0.8,0.8,1.0,0.8,0.8,0.89,1.0,1.0
35,Americas,Madison,2743.0,45.0,2498.0,5.0,5.0,0.8,0.8,33.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.8,0.88,0.6,0.0
36,Americas,Buffalo,2798.0,100.0,1996.0,5.0,5.0,0.8,0.8,37.0,0.6,0.8,0.8,34.0,22.49,1.0,0.8,0.8,0.8,0.8,0.88,0.8,0.0
37,Americas,Fort Lauderdale,3145.0,300.0,3204.0,5.5,5.5,0.8,0.8,12.0,0.6,0.8,0.6,34.0,22.49,1.0,0.8,0.8,0.8,0.8,0.88,1.0,0.0
38,Americas,Tampa,2823.0,97.0,2754.0,5.0,5.0,0.8,0.8,45.0,0.6,0.8,0.8,34.0,22.49,0.6,0.6,0.8,0.8,0.6,0.86,0.8,0.0
39,Americas,Louisville,2627.0,80.0,2126.0,4.0,4.0,0.8,0.8,35.0,0.6,0.8,0.8,34.0,22.49,1.0,0.8,0.8,0.8,0.6,0.87,0.6,0.0
40,Americas,Philadelphia,4497.0,350.0,3163.0,7.5,7.5,1.0,1.0,23.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,0.8,0.8,0.8,0.88,1.0,1.0
41,Americas,New Orleans,3034.0,275.0,2894.0,5.0,5.0,0.8,0.4,36.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.8,0.87,1.0,0.0
42,Americas,Richmond,2824.0,250.0,4623.0,5.0,5.0,0.8,1.0,24.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,0.6,0.8,0.6,0.84,0.8,0.0
43,Americas,Sacramento,3033.0,180.0,2826.0,5.0,5.0,0.8,1.0,32.0,0.6,0.8,0.8,34.0,22.49,1.0,0.8,0.8,0.8,0.6,0.87,0.6,1.0
44,Americas,Albuquerque,2361.0,40.0,1857.0,4.5,4.5,0.8,0.8,23.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.6,0.8,0.8,0.89,0.8,1.0
45,Americas,Norfolk,2773.0,150.0,2283.0,5.0,5.0,0.8,0.0,34.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.8,0.78,0.6,0.86,0.42,0.0
46,Americas,Colorado Springs,3202.0,200.0,2436.0,4.0,4.0,0.8,0.6,36.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.6,0.87,0.6,1.0
47,Americas,Windsor,2668.0,73.86,1875.0,3.69,3.69,0.8,0.8,30.0,0.8,1.0,1.0,23.8,15.26,0.8,0.8,1.0,1.0,0.6,0.87,0.6,0.0
48,Americas,Omaha,2956.0,350.0,2336.0,5.0,5.0,0.8,0.0,31.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.8,0.8,0.4,0.85,1.0,0.0
49,Americas,Raleigh,2945.0,300.0,2578.0,5.0,5.0,0.8,1.0,30.0,0.6,0.8,0.6,34.0,22.49,1.0,0.4,0.8,0.8,0.6,0.86,0.8,0.0
50,Americas,Nashville,3482.0,275.0,3450.0,5.0,5.0,0.8,0.4,28.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.8,0.8,0.8,0.9,1.0,0.0
51,Americas,Milwaukee,3582.0,110.0,2577.0,7.0,7.0,0.8,0.8,28.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.8,0.88,0.6,0.0
52,Americas,Phoenix,2729.0,250.0,2352.0,5.0,5.0,0.8,0.6,40.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.4,0.8,0.6,0.81,0.6,1.0
53,Americas,Rochester,3015.0,200.0,2277.0,5.0,5.0,0.8,0.4,22.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.84,0.6,0.0
54,Americas,Orlando,2796.0,200.0,2739.0,5.0,5.0,0.8,0.4,66.0,0.6,0.8,0.6,34.0,22.49,0.8,0.4,0.8,0.8,0.6,0.83,0.6,1.0
55,Americas,Tucson,2576.0,150.0,2223.0,5.0,5.0,0.8,0.8,15.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.4,0.82,0.4,1.0
56,Americas,Asheville,3087.0,260.0,2536.0,5.0,5.0,0.8,0.8,18.0,0.6,0.8,1.0,34.0,22.49,1.0,0.45,0.8,0.8,0.6,0.85,0.6,0.0
57,Americas,Grand Rapids,3071.0,99.0,2133.0,5.0,5.0,0.8,0.8,26.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.6,0.85,0.8,0.0
58,Americas,San Jose,3312.0,250.0,4475.0,5.0,5.0,0.8,0.8,12.0,0.6,0.8,0.8,34.0,22.49,1.0,1.0,1.0,0.8,0.4,0.85,0.6,0.0
59,Americas,Pittsburgh,3359.0,150.0,2690.0,5.0,5.0,0.8,0.8,24.0,0.6,0.8,0.8,34.0,22.49,1.0,0.8,0.6,0.8,0.8,0.85,0.8,1.0
60,Americas,Palo Alto,4029.0,559.0,7891.0,5.0,5.0,0.8,0.8,19.0,0.6,0.8,0.8,34.0,22.49,0.6,0.8,0.8,0.8,0.8,0.85,0.8,0.0
61,Americas,Oklahoma City,2834.0,350.0,2637.0,5.0,5.0,0.8,0.8,0.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.6,0.8,0.4,0.82,0.6,0.0
62,Americas,St. Louis,3179.0,100.0,2117.0,5.0,5.0,0.8,0.6,47.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.83,0.6,0.0
63,Americas,Salt Lake City,3159.0,400.0,2616.0,5.0,5.0,0.8,1.0,33.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,0.62,0.87,0.6,0.0
64,Americas,Charlotte,2564.0,21.0,3221.0,5.0,5.0,0.4,0.8,23.0,0.6,0.8,1.0,34.0,22.49,0.8,0.8,0.8,0.6,0.8,0.85,0.8,0.0
65,Americas,Boulder,4217.0,350.0,3089.0,5.0,5.0,0.8,0.6,61.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,0.8,0.93,0.8,1.0
66,Americas,Bellingham,3281.0,35.0,2464.0,7.5,7.5,0.8,0.6,18.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,0.6,0.83,0.4,0.0
67,Americas,Honolulu,4306.0,199.0,4134.0,6.0,6.0,0.8,0.6,6.0,0.6,0.8,1.0,34.0,22.49,1.0,0.8,1.0,0.8,1.0,0.88,0.8,1.0
68,Americas,Cincinnati,2597.0,35.0,2076.0,5.05,5.05,0.8,0.8,23.0,0.6,0.8,1.0,34.0,22.49,0.8,0.6,0.8,0.6,0.8,0.84,0.8,1.0
69,Americas,Columbus,3535.0,500.0,2774.0,5.0,5.0,0.8,0.6,52.0,0.6,0.8,0.8,34.0,22.49,0.8,0.64,1.0,0.8,0.6,0.83,0.6,1.0
70,Americas,Gainesville,2590.0,366.0,2230.0,4.0,4.0,0.4,0.8,70.0,0.6,0.8,0.8,34.0,22.49,1.0,0.62,0.8,0.76,0.6,0.83,0.6,0.0
71,Americas,Baton Rouge,2908.0,616.1,2752.0,4.63,4.63,0.8,0.8,27.0,0.6,0.8,0.8,34.0,22.49,0.8,1.0,1.0,0.6,1.0,0.88,1.0,0.0
72,Americas,Chico,2489.0,150.0,1883.0,4.0,4.0,0.4,1.0,28.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,0.6,0.84,1.0,1.0
73,Americas,Flagstaff,3117.0,503.0,4265.0,3.0,3.0,0.4,0.8,27.0,0.6,0.8,0.8,34.0,22.49,0.6,0.6,0.8,0.6,0.8,0.83,0.8,0.0
74,Americas,Fairfax,3587.0,250.0,4350.0,7.5,7.5,0.8,0.8,55.0,0.6,0.8,0.8,34.0,22.49,1.0,0.8,0.8,0.8,0.4,0.85,0.8,0.0
75,Americas,Memphis,2561.0,150.0,1959.0,4.38,4.38,0.8,0.8,29.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.4,0.82,0.6,0.0
76,Americas,Boise,3076.0,366.0,2286.0,4.5,4.5,0.8,0.8,13.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.4,0.84,1.0,0.0
77,Americas,Des Moines,2883.0,250.0,2742.0,5.0,5.0,0.4,0.6,38.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,1.0,0.8,0.6,0.83,0.6,0.0
78,Americas,Mount Vernon,3553.0,458.0,5653.0,4.0,4.0,0.8,0.8,0.0,0.6,0.8,0.8,34.0,22.49,0.6,0.6,0.6,0.6,0.6,0.82,0.6,0.0
79,Americas,Knoxville,2334.0,90.0,1932.0,5.0,5.0,0.4,0.8,13.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.6,0.81,0.4,0.0
80,Americas,Provo,3013.0,406.26,2196.0,5.0,5.0,0.6,0.6,80.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.8,0.8,0.42,0.84,0.8,0.0
81,Americas,Ogden,2617.0,79.0,2297.0,5.0,5.0,0.6,0.0,56.0,0.6,0.8,0.8,34.0,22.49,0.0,0.6,0.8,0.8,0.4,0.8,0.8,0.0
82,Americas,Reno,2604.0,300.0,2073.0,5.0,5.0,0.2,0.6,13.0,0.6,0.8,0.6,34.0,22.49,0.8,0.6,0.6,0.8,0.6,0.8,1.0,1.0
83,Americas,Virginia Beach,2243.0,139.0,2408.0,5.59,5.59,0.4,0.8,27.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.6,0.6,0.8,0.83,0.8,0.0
84,Americas,Battle Creek,1310.0,132.98,5776.0,1.89,1.89,0.6,0.8,34.0,0.6,0.8,0.6,34.0,22.49,0.6,0.6,0.6,0.6,0.6,0.78,0.6,0.0
85,Americas,Los Angeles,4083.0,125.0,3661.0,5.0,5.0,1.0,1.0,19.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,1.0,0.84,1.0,1.0
86,Americas,Newark,4072.0,400.0,3066.0,7.25,7.25,0.8,0.6,9.0,0.6,0.8,0.75,34.0,22.49,0.8,0.6,0.8,0.8,0.8,0.82,0.8,1.0
87,Americas,New York City,4750.0,375.0,5646.0,7.5,7.5,0.8,1.0,27.0,0.6,0.8,0.6,34.0,22.49,0.78,0.8,0.8,0.8,1.0,0.83,1.0,1.0
88,Americas,Chattanooga,3168.0,325.0,2257.0,5.0,5.0,0.4,1.0,85.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,0.4,0.82,0.6,0.0
89,Americas,Park City,4183.0,500.0,3553.0,5.0,5.0,0.8,1.0,55.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,1.0,0.8,0.6,0.88,1.0,0.0
90,Americas,Jacksonville,2586.0,150.0,2100.0,4.0,4.0,0.4,1.0,20.0,0.6,0.8,0.6,34.0,22.49,1.0,0.6,0.8,0.8,0.8,0.83,0.6,0.0
91,Americas,Fargo,2959.0,350.0,2665.0,5.0,5.0,0.4,0.6,61.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,1.0,0.8,0.6,0.81,0.6,0.0
92,Americas,Fresno,2421.0,39.0,1862.0,4.5,4.5,0.4,1.0,35.0,0.6,0.8,0.8,34.0,22.49,1.0,0.8,1.0,0.8,0.4,0.84,1.0,1.0
93,Americas,Bloomington,3386.0,215.0,2405.0,5.0,5.0,0.4,0.4,28.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.81,0.6,0.0
94,Americas,Baltimore,3943.0,295.0,3150.0,7.5,7.5,0.8,0.8,17.0,0.6,0.8,0.4,34.0,22.49,0.6,0.38,0.6,0.4,0.6,0.75,0.6,1.0
95,Americas,Wichita,2593.0,401.38,2186.0,4.0,4.0,0.6,0.8,26.0,0.6,0.8,0.8,34.0,22.49,0.6,0.6,0.6,0.6,0.6,0.81,0.6,0.0
96,Americas,Cleveland,3316.0,100.0,2371.0,5.0,5.0,0.4,0.0,30.0,0.6,0.8,0.6,34.0,22.49,0.6,0.6,0.6,0.8,0.6,0.79,0.8,1.0
97,Americas,Key West,4499.0,486.78,4988.0,4.0,4.0,0.8,0.8,27.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.6,1.0,0.87,1.0,0.0
98,Americas,Beacon,3191.0,200.0,2969.0,5.0,5.0,0.4,0.6,52.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.8,0.4,0.0
99,Americas,Ann Arbor,3498.0,450.0,2934.0,5.0,5.0,0.4,0.8,29.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.4,0.81,0.6,1.0
100,Americas,Princeton,3674.0,457.5,6905.0,4.0,4.0,1.0,0.8,41.0,0.6,0.8,0.8,34.0,22.49,0.6,0.6,0.8,0.6,0.6,0.8,0.8,0.0
101,Americas,West Palm Beach,3300.0,299.0,3327.0,6.0,6.0,0.4,0.8,5.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.8,0.81,1.0,0.0
102,Americas,Indianapolis,3188.0,200.0,2420.0,5.0,5.0,0.4,0.6,22.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.78,0.4,0.0
103,Americas,Scottsdale,3545.0,524.6,5914.0,5.0,5.0,0.6,0.8,33.0,0.6,0.8,0.8,34.0,22.49,0.6,0.8,0.6,0.6,0.6,0.81,0.8,0.0
104,Americas,Tulsa,3312.0,590.48,2533.0,4.9,4.9,0.4,0.6,20.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.6,0.6,0.8,0.82,0.6,0.0
105,Americas,San Francisco,4879.0,570.0,6086.0,5.0,5.0,0.8,1.0,9.0,0.6,0.8,0.62,34.0,22.49,0.8,0.8,1.0,0.8,1.0,0.83,1.0,1.0
106,Americas,Washington,4317.0,400.0,4164.0,7.5,7.5,0.8,1.0,32.0,0.6,0.8,0.4,34.0,22.49,1.0,0.8,0.8,0.8,0.8,0.79,1.0,1.0
107,Americas,Hilo,3634.0,200.0,2575.0,7.0,7.0,0.8,0.6,6.0,0.6,0.8,1.0,34.0,22.49,1.0,0.8,1.0,0.8,0.8,0.83,0.6,1.0
108,Americas,Boston,4562.0,299.0,4400.0,5.0,5.0,0.8,0.8,20.0,0.6,0.8,0.8,34.0,22.49,0.6,0.8,0.6,0.8,0.8,0.8,0.6,1.0
109,Americas,Huntsville,3152.0,249.0,2174.0,6.0,6.0,0.4,0.8,46.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.6,0.8,0.4,0.81,0.6,0.0
110,Americas,Stamford,3966.0,250.0,4491.0,7.5,7.5,0.4,1.0,16.0,0.6,0.8,0.0,34.0,22.49,1.0,1.0,0.8,0.8,0.6,0.79,0.4,1.0
111,Americas,Dayton,3056.0,150.0,2056.0,6.5,6.5,0.4,1.0,13.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.6,0.81,0.6,0.0
112,Americas,Hartford,3750.0,200.0,2803.0,7.5,7.5,0.4,1.0,16.0,0.6,0.8,0.6,34.0,22.49,1.0,0.8,0.8,0.8,0.4,0.78,0.4,1.0
113,Americas,Syracuse,3537.0,433.0,3847.0,3.0,3.0,0.4,0.8,54.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.6,0.6,0.6,0.8,0.8,0.0
114,Americas,Monterey,4340.0,494.0,8044.0,5.0,5.0,0.4,0.8,44.0,0.6,0.8,0.8,34.0,22.49,0.6,0.6,0.6,0.6,0.6,0.79,0.6,0.0
115,Americas,Bedford,3695.0,467.0,4939.0,4.0,4.0,0.4,0.8,20.0,0.6,0.8,0.8,34.0,22.49,0.6,0.6,0.6,0.6,0.6,0.78,0.6,0.0
116,Americas,Ithaca,4127.0,433.0,4310.0,3.0,3.0,0.4,0.8,23.0,0.6,0.8,0.8,34.0,22.49,0.6,0.6,0.6,0.6,0.6,0.79,0.6,0.0
117,Americas,Santa Monica,5396.0,299.0,4725.0,5.0,5.0,0.8,0.4,31.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.8,0.8,0.6,0.8,1.0,0.0
118,Americas,Anchorage,3760.0,325.0,2898.0,6.0,6.0,0.4,0.8,36.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.6,0.8,0.6,1.0
119,Americas,Santa Barbara,5230.0,529.0,6496.0,6.0,6.0,0.4,0.8,16.0,0.6,0.8,0.6,34.0,22.49,0.6,0.8,0.6,0.6,0.8,0.8,0.8,0.0
120,Americas,Salem,4102.0,457.5,5318.0,3.5,3.5,0.6,0.8,47.0,0.6,0.8,0.6,34.0,22.49,0.2,0.6,0.6,0.6,0.6,0.76,0.6,1.0
121,Americas,Detroit,2576.0,30.0,1801.0,5.0,5.0,0.8,0.6,19.0,0.6,0.8,0.2,34.0,22.49,0.8,0.6,0.8,0.8,0.6,0.63,0.6,1.0
122,Americas,York,4611.0,389.63,2565.0,4.24,4.24,0.6,0.8,0.0,0.6,0.8,0.8,32.4,21.7,0.6,0.6,0.6,0.6,0.6,0.77,0.6,0.0
123,Americas,Charleston,3182.0,275.0,2972.0,4.0,4.0,0.8,1.0,4.0,0.6,0.8,0.62,34.0,22.49,0.82,0.8,0.82,0.8,0.6,0.78,0.42,0.0
124,Americas,Saint Louis,3229.0,150.0,2242.0,5.0,5.0,0.8,0.8,34.0,0.6,0.8,0.2,34.0,22.49,0.6,1.0,0.6,0.8,0.4,0.62,0.4,0.0
125,Americas,Fez,2735.0,26.05,1201.0,0.0,0.0,0.8,0.6,2.0,0.2,0.6,0.6,74.2,42.64,0.4,0.4,0.8,0.8,0.8,0.68,0.4,0.0
126,Americas,Kobe,3749.0,451.51,2050.0,3.7,3.7,0.8,0.8,3.0,0.6,0.8,1.0,35.1,28.67,0.8,0.6,0.8,0.6,1.0,0.81,0.8,0.0
