,alpha-2,region,sub-region
0,AF,Asia,Southern Asia
1,AX,Europe,Northern Europe
2,AL,Europe,Southern Europe
3,DZ,Africa,Northern Africa
4,AS,Oceania,Polynesia
5,AD,Europe,Southern Europe
6,AO,Africa,Sub-Saharan Africa
7,AI,Americas,Latin America and the Caribbean
8,AQ,,
9,AG,Americas,Latin America and the Caribbean
10,AR,Americas,Latin America and the Caribbean
11,AM,Asia,Western Asia
12,AW,Americas,Latin America and the Caribbean
13,AU,Oceania,Australia and New Zealand
14,AT,Europe,Western Europe
15,AZ,Asia,Western Asia
16,BS,Americas,Latin America and the Caribbean
17,BH,Asia,Western Asia
18,BD,Asia,Southern Asia
19,BB,Americas,Latin America and the Caribbean
20,BY,Europe,Eastern Europe
21,BE,Europe,Western Europe
22,BZ,Americas,Latin America and the Caribbean
23,BJ,Africa,Sub-Saharan Africa
24,BM,Americas,Northern America
25,BT,Asia,Southern Asia
26,BO,Americas,Latin America and the Caribbean
27,BQ,Americas,Latin America and the Caribbean
28,BA,Europe,Southern Europe
29,BW,Africa,Sub-Saharan Africa
30,BV,Americas,Latin America and the Caribbean
31,BR,Americas,Latin America and the Caribbean
32,IO,Africa,Sub-Saharan Africa
33,BN,Asia,South-eastern Asia
34,BG,Europe,Eastern Europe
35,BF,Africa,Sub-Saharan Africa
36,BI,Africa,Sub-Saharan Africa
37,CV,Africa,Sub-Saharan Africa
38,KH,Asia,South-eastern Asia
39,CM,Africa,Sub-Saharan Africa
40,CA,Americas,Northern America
41,KY,Americas,Latin America and the Caribbean
42,CF,Africa,Sub-Saharan Africa
43,TD,Africa,Sub-Saharan Africa
44,CL,Americas,Latin America and the Caribbean
45,CN,Asia,Eastern Asia
46,CX,Oceania,Australia and New Zealand
47,CC,Oceania,Australia and New Zealand
48,CO,Americas,Latin America and the Caribbean
49,KM,Africa,Sub-Saharan Africa
50,CG,Africa,Sub-Saharan Africa
51,CD,Africa,Sub-Saharan Africa
52,CK,Oceania,Polynesia
53,CR,Americas,Latin America and the Caribbean
54,CI,Africa,Sub-Saharan Africa
55,HR,Europe,Southern Europe
56,CU,Americas,Latin America and the Caribbean
57,CW,Americas,Latin America and the Caribbean
58,CY,Asia,Western Asia
59,CZ,Europe,Eastern Europe
60,DK,Europe,Northern Europe
61,DJ,Africa,Sub-Saharan Africa
62,DM,Americas,Latin America and the Caribbean
63,DO,Americas,Latin America and the Caribbean
64,EC,Americas,Latin America and the Caribbean
65,EG,Africa,Northern Africa
66,SV,Americas,Latin America and the Caribbean
67,GQ,Africa,Sub-Saharan Africa
68,ER,Africa,Sub-Saharan Africa
69,EE,Europe,Northern Europe
70,SZ,Africa,Sub-Saharan Africa
71,ET,Africa,Sub-Saharan Africa
72,FK,Americas,Latin America and the Caribbean
73,FO,Europe,Northern Europe
74,FJ,Oceania,Melanesia
75,FI,Europe,Northern Europe
76,FR,Europe,Western Europe
77,GF,Americas,Latin America and the Caribbean
78,PF,Oceania,Polynesia
79,TF,Africa,Sub-Saharan Africa
80,GA,Africa,Sub-Saharan Africa
81,GM,Africa,Sub-Saharan Africa
82,GE,Asia,Western Asia
83,DE,Europe,Western Europe
84,GH,Africa,Sub-Saharan Africa
85,GI,Europe,Southern Europe
86,GR,Europe,Southern Europe
87,GL,Americas,Northern America
88,GD,Americas,Latin America and the Caribbean
89,GP,Americas,Latin America and the Caribbean
90,GU,Oceania,Micronesia
91,GT,Americas,Latin America and the Caribbean
92,GG,Europe,Northern Europe
93,GN,Africa,Sub-Saharan Africa
94,GW,Africa,Sub-Saharan Africa
95,GY,Americas,Latin America and the Caribbean
96,HT,Americas,Latin America and the Caribbean
97,HM,Oceania,Australia and New Zealand
98,VA,Europe,Southern Europe
99,HN,Americas,Latin America and the Caribbean
100,HK,Asia,Eastern Asia
101,HU,Europe,Eastern Europe
102,IS,Europe,Northern Europe
103,IN,Asia,Southern Asia
104,ID,Asia,South-eastern Asia
105,IR,Asia,Southern Asia
106,IQ,Asia,Western Asia
107,IE,Europe,Northern Europe
108,IM,Europe,Northern Europe
109,IL,Asia,Western Asia
110,IT,Europe,Southern Europe
111,JM,Americas,Latin America and the Caribbean
112,JP,Asia,Eastern Asia
113,JE,Europe,Northern Europe
114,JO,Asia,Western Asia
115,KZ,Asia,Central Asia
116,KE,Africa,Sub-Saharan Africa
117,KI,Oceania,Micronesia
118,KP,Asia,Eastern Asia
119,KR,Asia,Eastern Asia
120,KW,Asia,Western Asia
121,KG,Asia,Central Asia
122,LA,Asia,South-eastern Asia
123,LV,Europe,Northern Europe
124,LB,Asia,Western Asia
125,LS,Africa,Sub-Saharan Africa
126,LR,Africa,Sub-Saharan Africa
127,LY,Africa,Northern Africa
128,LI,Europe,Western Europe
129,LT,Europe,Northern Europe
130,LU,Europe,Western Europe
131,MO,Asia,Eastern Asia
132,MG,Africa,Sub-Saharan Africa
133,MW,Africa,Sub-Saharan Africa
134,MY,Asia,South-eastern Asia
135,MV,Asia,Southern Asia
136,ML,Africa,Sub-Saharan Africa
137,MT,Europe,Southern Europe
138,MH,Oceania,Micronesia
139,MQ,Americas,Latin America and the Caribbean
140,MR,Africa,Sub-Saharan Africa
141,MU,Africa,Sub-Saharan Africa
142,YT,Africa,Sub-Saharan Africa
143,MX,Americas,Latin America and the Caribbean
144,FM,Oceania,Micronesia
145,MD,Europe,Eastern Europe
146,MC,Europe,Western Europe
147,MN,Asia,Eastern Asia
148,ME,Europe,Southern Europe
149,MS,Americas,Latin America and the Caribbean
150,MA,Africa,Northern Africa
151,MZ,Africa,Sub-Saharan Africa
152,MM,Asia,South-eastern Asia
153,,Africa,Sub-Saharan Africa
154,NR,Oceania,Micronesia
155,NP,Asia,Southern Asia
156,NL,Europe,Western Europe
157,NC,Oceania,Melanesia
158,NZ,Oceania,Australia and New Zealand
159,NI,Americas,Latin America and the Caribbean
160,NE,Africa,Sub-Saharan Africa
161,NG,Africa,Sub-Saharan Africa
162,NU,Oceania,Polynesia
163,NF,Oceania,Australia and New Zealand
164,MK,Europe,Southern Europe
165,MP,Oceania,Micronesia
166,NO,Europe,Northern Europe
167,OM,Asia,Western Asia
168,PK,Asia,Southern Asia
169,PW,Oceania,Micronesia
170,PS,Asia,Western Asia
171,PA,Americas,Latin America and the Caribbean
172,PG,Oceania,Melanesia
173,PY,Americas,Latin America and the Caribbean
174,PE,Americas,Latin America and the Caribbean
175,PH,Asia,South-eastern Asia
176,PN,Oceania,Polynesia
177,PL,Europe,Eastern Europe
178,PT,Europe,Southern Europe
179,PR,Americas,Latin America and the Caribbean
180,QA,Asia,Western Asia
181,RE,Africa,Sub-Saharan Africa
182,RO,Europe,Eastern Europe
183,RU,Europe,Eastern Europe
184,RW,Africa,Sub-Saharan Africa
185,BL,Americas,Latin America and the Caribbean
186,SH,Africa,Sub-Saharan Africa
187,KN,Americas,Latin America and the Caribbean
188,LC,Americas,Latin America and the Caribbean
189,MF,Americas,Latin America and the Caribbean
190,PM,Americas,Northern America
191,VC,Americas,Latin America and the Caribbean
192,WS,Oceania,Polynesia
193,SM,Europe,Southern Europe
194,ST,Africa,Sub-Saharan Africa
195,SA,Asia,Western Asia
196,SN,Africa,Sub-Saharan Africa
197,RS,Europe,Southern Europe
198,SC,Africa,Sub-Saharan Africa
199,SL,Africa,Sub-Saharan Africa
200,SG,Asia,South-eastern Asia
201,SX,Americas,Latin America and the Caribbean
202,SK,Europe,Eastern Europe
203,SI,Europe,Southern Europe
204,SB,Oceania,Melanesia
205,SO,Africa,Sub-Saharan Africa
206,ZA,Africa,Sub-Saharan Africa
207,GS,Americas,Latin America and the Caribbean
208,SS,Africa,Sub-Saharan Africa
209,ES,Europe,Southern Europe
210,LK,Asia,Southern Asia
211,SD,Africa,Northern Africa
212,SR,Americas,Latin America and the Caribbean
213,SJ,Europe,Northern Europe
214,SE,Europe,Northern Europe
215,CH,Europe,Western Europe
216,SY,Asia,Western Asia
217,TW,Asia,Eastern Asia
218,TJ,Asia,Central Asia
219,TZ,Africa,Sub-Saharan Africa
220,TH,Asia,South-eastern Asia
221,TL,Asia,South-eastern Asia
222,TG,Africa,Sub-Saharan Africa
223,TK,Oceania,Polynesia
224,TO,Oceania,Polynesia
225,TT,Americas,Latin America and the Caribbean
226,TN,Africa,Northern Africa
227,TR,Asia,Western Asia
228,TM,Asia,Central Asia
229,TC,Americas,Latin America and the Caribbean
230,TV,Oceania,Polynesia
231,UG,Africa,Sub-Saharan Africa
232,UA,Europe,Eastern Europe
233,AE,Asia,Western Asia
234,GB,Europe,Northern Europe
235,US,Americas,Northern America
236,UM,Oceania,Micronesia
237,UY,Americas,Latin America and the Caribbean
238,UZ,Asia,Central Asia
239,VU,Oceania,Melanesia
240,VE,Americas,Latin America and the Caribbean
241,VN,Asia,South-eastern Asia
242,VG,Americas,Latin America and the Caribbean
243,VI,Americas,Latin America and the Caribbean
244,WF,Oceania,Polynesia
245,EH,Africa,Northern Africa
246,YE,Asia,Western Asia
247,ZM,Africa,Sub-Saharan Africa
248,ZW,Africa,Sub-Saharan Africa
